TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_FREE_MATPTINC,NUMINST_STUDIO_MATPTINC,NUMINST_UTC_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEACOV_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEACOV_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,P8_BANDING,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_FREE_INMAT,NUMINST_STUDIO_INMAT,NUMINST_UTC_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202223,AcademicYear,Multi-academy trusts,SOUTH EAST SURREY SCHOOLS EDUCATION TRUST,16540,TR03597,10479401,10064268,South East,143901;143902;143903,3,3,0,0,0,0,3,0,0,3,611,105.4,18%,82%,7%,17%,48.9,96%,-0.01,-0.12,0.11,47%,4.43,19%,29%,49%,32.3,97%,-0.89,-1.16,-0.61,20%,2.84,3%,9%,28%,52.4,95%,0.18,0.06,0.31,53%,4.77,22%,34%,53%,Average,143901;143902;143903,3,3,0,0,0,0,611,18%,82%
202223,AcademicYear,Multi-academy trusts,EMMANUEL SCHOOLS FOUNDATION,16552,TR03704,4464331,10064192,North East,134223;135007;135619;138567;147178,5,1,3,1,0,0,5,0,2,3,896,104.1,35%,65%,6%,18%,41.9,97%,-0.45,-0.54,-0.35,34%,3.6,12%,20%,30%,32.5,96%,-0.92,-1.08,-0.76,16%,2.68,3%,7%,18%,46.8,97%,-0.21,-0.32,-0.09,44%,4.08,17%,27%,37%,Below average,134223;135007;135619;138567;147178,5,1,3,1,0,0,896,35%,65%
202223,AcademicYear,Multi-academy trusts,STOUR VALE ACADEMY TRUST,16572,TR00704,7865663,10059465,West Midlands,137812;139872;141712,3,3,0,0,0,0,3,0,0,3,624,104,25%,75%,4%,13%,45,98%,-0.14,-0.25,-0.03,41%,4,18%,29%,45%,35.6,97%,-0.73,-0.95,-0.5,26%,3.06,8%,13%,27%,48,99%,0.05,-0.08,0.18,46%,4.31,22%,34%,51%,Below average,137701;137812;139872;141712,4,4,0,0,0,0,909,30%,70%
202223,AcademicYear,Multi-academy trusts,ZENITH MULTI ACADEMY TRUST,16575,TR01255,7559293,10058621,East of England,136577;138865;147031,3,2,1,0,0,0,3,0,1,2,663,104.6,22%,78%,3%,14%,46,98%,-0.16,-0.27,-0.05,40%,3.98,19%,31%,41%,36,99%,-0.65,-0.88,-0.43,23%,3.02,8%,19%,26%,48.8,97%,-0.01,-0.14,0.11,45%,4.26,22%,34%,45%,Below average,136577;138865;147031,3,2,1,0,0,0,663,22%,78%
202223,AcademicYear,Multi-academy trusts,THE BAY LEARNING TRUST,16599,TR01795,7588464,10058677,North West,136731;145082;147115;147260,4,3,1,0,0,0,4,1,1,2,702,103.2,24%,76%,6%,13%,43.6,96%,-0.14,-0.25,-0.04,38%,3.67,5%,10%,20%,31.1,95%,-0.85,-1.07,-0.63,16%,2.53,2%,4%,12%,47.3,97%,0.06,-0.06,0.18,44%,4,6%,11%,22%,Below average,136731;145082;147115;147260,4,3,1,0,0,0,702,24%,76%
202223,AcademicYear,Multi-academy trusts,STOWE VALLEY MULTI ACADEMY TRUST,16616,TR03608,10445759,10064277,West Midlands,143905;145575;147432,3,2,1,0,0,0,3,0,1,2,597,104.2,17%,83%,7%,19%,48.6,97%,0.19,0.08,0.31,48%,4.16,11%,18%,26%,35.4,96%,-0.32,-0.6,-0.05,25%,2.9,1%,1%,7%,51.3,97%,0.3,0.17,0.43,53%,4.42,13%,21%,30%,Above average,143905;145575;147432,3,2,1,0,0,0,597,17%,83%
202223,AcademicYear,Multi-academy trusts,WEYDON MULTI ACADEMY TRUST,16644,TR02463,7552535,10058582,South East,136531;137314;144520,3,3,0,0,0,0,3,0,0,3,686,107.2,10%,90%,6%,13%,54.8,95%,0.21,0.1,0.32,58%,4.87,23%,31%,39%,34.9,100%,-0.74,-1.07,-0.41,24%,2.94,7%,7%,15%,57.1,94%,0.33,0.21,0.44,63%,5.09,25%,34%,42%,Above average,136531;137019;137314;144520,4,4,0,0,0,0,869,11%,89%
202223,AcademicYear,Multi-academy trusts,MAGNA LEARNING PARTNERSHIP,16649,TR02045,7865850,10059466,South West,136183;144388;144389,3,2,1,0,0,0,3,0,0,3,514,103.1,17%,83%,6%,17%,42.5,96%,-0.14,-0.27,-0.02,37%,3.62,9%,13%,19%,30.5,98%,-0.88,-1.18,-0.58,11%,2.51,2%,2%,10%,45,96%,0.01,-0.12,0.15,42%,3.85,10%,15%,20%,Below average,136183;144388;144389,3,2,1,0,0,0,514,17%,83%
202223,AcademicYear,Multi-academy trusts,WAVENEY VALLEY ACADEMIES TRUST,16656,TR01927,7682294,10058936,East of England,137055;141236;145055,3,1,2,0,0,0,3,0,1,2,465,103.5,20%,80%,2%,13%,44.6,98%,-0.05,-0.18,0.08,38%,3.71,6%,10%,19%,34.6,98%,-0.48,-0.77,-0.19,20%,2.87,3%,6%,15%,47,98%,0.05,-0.09,0.2,43%,3.92,7%,11%,21%,Average,137055;141236;145055,3,1,2,0,0,0,465,20%,80%
202223,AcademicYear,Multi-academy trusts,MULBERRY SCHOOLS TRUST,16669,TR03507,10035860,10064234,London,137789;143629;144756,3,2,0,0,0,1,3,0,0,3,400,105.3,56%,44%,70%,13%,52.7,94%,0.43,0.29,0.58,55%,4.76,28%,40%,81%,48,94%,0.14,-0.05,0.33,46%,4.26,20%,30%,75%,58.6,93%,0.8,0.59,1.02,67%,5.39,38%,51%,88%,Above average,137789;143629;144700;144756,4,3,0,0,0,1,587,53%,47%
